id,ycoord,xcoord
1 ,41.6941879,-87.76154923
2 ,41.4566879,-87.69659733
3 ,41.4316879,-87.69659733
4 ,41.4441879,-87.67494669
5 ,41.7691879,-87.58834415
6 ,41.6816879,-87.60999479
7 ,41.4566879,-87.65329606
8 ,41.4441879,-87.63164542
9 ,41.5066879,-87.78319987
10 ,41.4941879,-87.76154923
11 ,41.7566879,-87.56669352
12 ,41.7691879,-87.54504288
13 ,41.7566879,-87.52339225
14 ,41.8191879,-87.63164542
15 ,41.7316879,-87.60999479
16 ,41.6691879,-87.63164542
17 ,41.6566879,-87.60999479
18 ,41.8191879,-87.76154923
19 ,41.8941879,-87.84815177
20 ,41.8816879,-87.82650114
21 ,41.8691879,-87.84815177
22 ,42.0316879,-88.1729113
23 ,42.03488797,-88.15219558
24 ,41.8316879,-87.78319987
25 ,41.8191879,-87.8048505
26 ,42.0566879,-87.86980241
27 ,41.63493718,-87.58922986
28 ,42.1316879,-88.30281511
29 ,42.1066879,-88.30281511
30 ,42.15033865,-88.27688355
31 ,42.1191879,-88.28116447
32 ,41.77140385,-87.57126967
33 ,41.7566879,-87.69659733
34 ,41.7441879,-87.67494669
35 ,41.7816879,-88.21621257
36 ,42.3316879,-87.86980241
37 ,42.3066879,-87.86980241
38 ,42.3191879,-87.84815177
39 ,41.8441879,-88.28116447
40 ,41.7066879,-87.82650114
41 ,41.6816879,-87.82650114
42 ,41.6941879,-87.8048505
43 ,42.0066879,-88.30281511
44 ,42.0191879,-88.28116447
45 ,41.69464306,-87.60160517
46 ,41.6691879,-87.58834415
47 ,41.7066879,-87.56669352
48 ,41.6816879,-87.56669352
49 ,41.6566879,-87.56669352
50 ,41.6941879,-87.54504288
51 ,41.6691879,-87.54504288
52 ,42.4816879,-87.82650114
53 ,42.4941879,-87.8048505
54 ,42.4691879,-87.8048505
55 ,42.4441879,-87.8048505
56 ,42.04802765,-88.3043897
57 ,42.0316879,-88.30281511
58 ,42.0441879,-88.28116447
59 ,41.7316879,-88.34611638
60 ,41.7441879,-88.32446575
61 ,41.7191879,-88.32446575
62 ,41.8691879,-88.19456193
63 ,41.8566879,-88.1729113
64 ,41.5191879,-88.06465812
65 ,41.5316879,-88.04300749
66 ,42.1316879,-88.25951384
67 ,41.5316879,-87.65329606
68 ,41.6191879,-87.71824796
69 ,41.6316879,-87.69659733
70 ,41.8316879,-88.08630876
71 ,42.4191879,-87.84815177
72 ,42.4316879,-87.82650114
73 ,42.4066879,-87.82650114
74 ,41.8316879,-87.99970622
75 ,42.4691879,-87.84815177
76 ,42.4441879,-87.84815177
77 ,42.0441879,-88.32446575
78 ,41.4691879,-87.71824796
79 ,41.4691879,-87.67494669
80 ,41.7816879,-88.34611638
81 ,41.7941879,-88.32446575
82 ,41.7191879,-88.36776702
83 ,41.7441879,-88.2378632
84 ,41.7191879,-88.2378632
85 ,41.7316879,-88.21621257
86 ,41.4816879,-87.56669352
87 ,41.48444512,-87.54897936
88 ,41.45863322,-87.55198093
89 ,41.4816879,-87.52339225
90 ,41.4941879,-87.71824796
91 ,41.8816879,-87.99970622
92 ,41.9408911,-87.88082455
93 ,41.98562606,-88.11184667
94 ,42.0066879,-88.08630876
95 ,41.9816879,-88.08630876
96 ,42.0316879,-88.25951384
97 ,42.1566879,-88.04300749
98 ,42.1441879,-88.02135685
99 ,42.02770054,-87.93007974
100 ,42.0066879,-87.91310368
101 ,41.97371653,-88.13694172
102 ,41.7816879,-88.08630876
103 ,41.9316879,-88.12961003
104 ,41.91928631,-88.0956579
105 ,41.8941879,-88.19456193
106 ,41.7441879,-87.84815177
107 ,41.7566879,-87.82650114
108 ,41.7441879,-87.76154923
109 ,41.6316879,-87.56669352
110 ,41.6441879,-87.54504288
111 ,41.6191879,-87.54504288
112 ,41.5441879,-87.54504288
113 ,41.5566879,-87.52339225
114 ,41.6066879,-87.52339225
115 ,41.5816879,-87.52339225
116 ,41.5941879,-87.54504288
117 ,41.5941879,-87.67494669
118 ,41.58729739,-87.66048013
119 ,41.5691879,-87.67494669
120 ,41.7191879,-87.76154923
121 ,41.5816879,-87.60999479
122 ,41.64379426,-87.75215089
123 ,41.6566879,-87.7398986
124 ,41.6441879,-87.71824796
125 ,41.56333071,-87.56615225
126 ,41.62302765,-87.65639603
127 ,41.6191879,-87.63164542
128 ,42.2816879,-87.99970622
129 ,42.2566879,-87.99970622
130 ,42.2941879,-87.97805558
131 ,42.2748958,-87.97239689
132 ,41.51151177,-87.58893462
133 ,41.50555617,-87.61944234
134 ,41.50412751,-87.58972192
135 ,41.5191879,-87.71824796
136 ,41.5066879,-87.69659733
137 ,41.4298656,-87.67470066
138 ,41.4316879,-87.65329606
139 ,41.4191879,-87.63164542
140 ,41.5316879,-88.08630876
141 ,41.5066879,-88.08630876
142 ,41.8441879,-88.15126066
143 ,41.8566879,-88.12961003
144 ,41.6566879,-87.69659733
145 ,41.6441879,-87.67494669
146 ,41.8441879,-88.19456193
147 ,42.2566879,-88.12961003
148 ,41.7816879,-88.30281511
149 ,41.7941879,-88.28116447
150 ,41.6566879,-87.65329606
151 ,41.6441879,-87.63164542
152 ,42.2941879,-87.84815177
153 ,41.6941879,-87.67494669
154 ,41.7066879,-87.65329606
155 ,41.7691879,-87.71824796
156 ,41.7191879,-87.63164542
157 ,41.7566879,-87.7398986
158 ,41.7441879,-87.71824796
159 ,42.41899108,-87.92387979
160 ,42.3941879,-87.93475431
161 ,42.4066879,-87.91310368
162 ,42.38109743,-87.90365613
163 ,42.2816879,-87.86980241
164 ,41.54935621,-88.04901062
165 ,32.90271177,-97.54255618
166 ,32.89021177,-97.52090554
167 ,32.86521177,-97.52090554
168 ,32.75271177,-97.45595364
169 ,32.72771177,-97.45595364
170 ,32.70271177,-97.45595364
171 ,32.76521177,-97.434303
172 ,32.74021177,-97.434303
173 ,32.71521177,-97.434303
174 ,32.80271177,-97.41265237
175 ,32.75271177,-97.41265237
176 ,32.80335312,-97.38942714
177 ,32.79021177,-97.39100173
178 ,32.76521177,-97.39100173
179 ,32.74021177,-97.39100173
180 ,32.66521177,-97.39100173
181 ,32.64021177,-97.39100173
182 ,32.78420696,-97.36452891
183 ,32.75271177,-97.3693511
184 ,32.65271177,-97.3693511
185 ,32.76521177,-97.34770046
186 ,32.78076254,-97.3143388
187 ,32.75271177,-97.32604982
188 ,32.72771177,-97.32604982
189 ,32.86521177,-97.30439919
190 ,32.84021177,-97.30439919
191 ,32.76521177,-97.30439919
192 ,32.74021177,-97.30439919
193 ,32.71521177,-97.30439919
194 ,32.69021177,-97.30439919
195 ,32.62894359,-97.29883891
196 ,32.62106728,-97.29657544
197 ,32.85271177,-97.28274855
198 ,32.82771177,-97.28274855
199 ,32.80271177,-97.28274855
200 ,32.75271177,-97.28274855
201 ,32.72771177,-97.28274855
202 ,32.70271177,-97.28274855
203 ,32.67771177,-97.28274855
204 ,32.65271177,-97.28274855
205 ,32.62771177,-97.28274855
206 ,32.74021177,-97.26109792
207 ,32.71521177,-97.26109792
208 ,32.69021177,-97.26109792
209 ,32.66521177,-97.26109792
210 ,32.6495609,-97.26690423
211 ,32.87771177,-97.23944728
212 ,32.85271177,-97.23944728
213 ,32.75271177,-97.23944728
214 ,32.72771177,-97.23944728
215 ,32.70271177,-97.23944728
216 ,32.67771177,-97.23944728
217 ,32.86521177,-97.21779665
218 ,32.76521177,-97.21779665
219 ,32.74021177,-97.21779665
220 ,32.72323234,-97.22419343
221 ,32.75271177,-97.19614601
222 ,32.72771177,-97.19614601
223 ,32.62771177,-97.19614601
224 ,32.76521177,-97.17449538
225 ,32.71521177,-97.17449538
226 ,32.64021177,-97.17449538
227 ,32.59021177,-97.17449538
228 ,32.56417844,-97.18226993
229 ,32.75271177,-97.15284474
230 ,32.70271177,-97.15284474
231 ,32.57771177,-97.15284474
232 ,32.56521177,-97.13119411
233 ,32.90271177,-97.10954347
234 ,32.87771177,-97.10954347
235 ,32.72771177,-97.10954347
236 ,32.67771177,-97.10954347
237 ,32.69021177,-97.08789284
238 ,32.77771177,-97.0662422
239 ,32.70271177,-97.0662422
240 ,32.82864668,-97.01073785
241 ,32.80271177,-97.02294093
242 ,32.77613717,-97.03317578
243 ,32.75271177,-97.02294093
244 ,32.72771177,-97.02294093
245 ,32.70271177,-97.02294093
246 ,32.6829276,-97.01472353
247 ,32.65271177,-97.02294093
248 ,32.81521177,-97.0012903
